,Ticker,OTC_Short,OTC_Total,DPI,Date
434,LRCX,553023,890143,0.6212743346,2022-10-19
435,CRK,470989,885236,0.5320490807,2022-10-19
436,VIPS,297769,881715,0.3377157018,2022-10-19
437,NDAQ,538969,880839,0.6118813994,2022-10-19
438,COF,690174,879658,0.784593558,2022-10-19
439,TOPS,285489,876009,0.3258973367,2022-10-19
440,STT,409290,875027,0.4677455667,2022-10-19
441,AKBA,412270,874921,0.4712082577,2022-10-19
442,PUMP,144904,868900,0.1667671769,2022-10-19
443,GERN,361727,868229,0.4166262587,2022-10-19
444,FMS,401299,862078,0.4655019615,2022-10-19
445,PANW,451730,857650,0.5267066985,2022-10-19
446,MMM,442898,852918,0.5192738341,2022-10-19
447,NOG,624374,848024,0.7362692565,2022-10-19
448,PSX,348781,843637,0.4134254425,2022-10-19
449,PSTG,242725,841933,0.2882949118,2022-10-19
450,RETA,352710,840784,0.4195013226,2022-10-19
451,CPHI,641159,839548,0.7636954647,2022-10-19
452,SVC,615716,838569,0.7342460787,2022-10-19
453,HTZ,647791,832853,0.7777975225,2022-10-19
454,KLAC,327552,832768,0.3933292346,2022-10-19
455,MDLZ,282767,832621,0.3396106992,2022-10-19
456,NVST,562382,832255,0.6757327982,2022-10-19
457,ESRT,616421,831279,0.7415332277,2022-10-19
458,HZNP,300522,827621,0.363115484,2022-10-19
459,AIG,373075,827158,0.45103233,2022-10-19
460,SO,265891,825112,0.3222483736,2022-10-19
461,RMED,428611,823553,0.5204413074,2022-10-19
462,FOXA,305584,822726,0.3714286409,2022-10-19
463,CPB,508723,822708,0.6183518332,2022-10-19
464,STM,235970,811894,0.2906413891,2022-10-19
465,BLDR,510278,806420,0.6327695246,2022-10-19
466,SESN,184658,805468,0.2292555384,2022-10-19
467,ACMR,277833,804957,0.3451525982,2022-10-19
468,OMF,409299,801324,0.5107784117,2022-10-19
469,SWCH,105226,797509,0.1319433386,2022-10-19
470,SBNY,428471,794468,0.5393181349,2022-10-19
471,DNLI,567724,793930,0.7150806746,2022-10-19
472,TEAM,372117,793801,0.4687786989,2022-10-19
473,BB,357597,790556,0.4523360774,2022-10-19
474,NGD,417491,782127,0.5337892695,2022-10-19
475,HTGC,497290,782060,0.635871928,2022-10-19
476,TWO,386927,779326,0.4964892741,2022-10-19
477,HAS,344473,779098,0.4421433504,2022-10-19
478,UNH,280868,777278,0.361348192,2022-10-19
479,MTG,214892,774513,0.2774543487,2022-10-19
480,KSS,315001,773782,0.4070926954,2022-10-19
481,NEOG,304382,773246,0.3936418682,2022-10-19
482,SI,384431,767308,0.5010126312,2022-10-19
483,UNP,225621,762078,0.2960602458,2022-10-19
484,UDR,279482,759367,0.3680460173,2022-10-19
485,NWSA,544223,754691,0.7211202996,2022-10-19
486,RAD,249454,754395,0.3306676211,2022-10-19
487,ABR,336691,754179,0.4464338042,2022-10-19
488,PBF,464725,753066,0.6171105853,2022-10-19
489,CRWD,385748,750995,0.5136492254,2022-10-19
490,CTLT,249060,746261,0.3337438242,2022-10-19
491,APDN,301189,744165,0.4047341651,2022-10-19
492,HWC,358967,743688,0.4826849431,2022-10-19
493,D,216133,743625,0.29064784,2022-10-19
494,ANGI,207449,742792,0.2792827602,2022-10-19
495,RGEN,509784,741335,0.6876567274,2022-10-19
496,SAND,347512,741112,0.4689061842,2022-10-19
497,WES,680074,740819,0.918002913,2022-10-19
498,ANET,367582,740462,0.4964225038,2022-10-19
499,YETI,622279,740323,0.8405506786,2022-10-19
500,VST,266003,738227,0.3603268371,2022-10-19
501,SHIP,402515,737922,0.5454709305,2022-10-19
502,BHP,376440,737019,0.5107602382,2022-10-19
503,PNR,442334,736922,0.6002453448,2022-10-19
504,BAM,205325,736248,0.2788802143,2022-10-19
505,ING,278392,732270,0.3801767108,2022-10-19
506,ZTS,303762,731093,0.4154902317,2022-10-19
507,RDVY,98706,730890,0.1350490498,2022-10-19
508,IFF,384835,727751,0.5288003727,2022-10-19
509,GS,319624,727722,0.439211677,2022-10-19
510,AU,352990,726066,0.4861679241,2022-10-19
511,SYY,450763,724031,0.6225741715,2022-10-19
512,DD,301486,722697,0.4171679141,2022-10-19
513,SPG,375535,721079,0.5207959183,2022-10-19
514,NRK,40194,719454,0.0558673661,2022-10-19
515,GOSS,315775,718551,0.4394608038,2022-10-19
516,HMY,320676,717912,0.4466787016,2022-10-19
517,PM,311765,714543,0.4363138398,2022-10-19
518,SCZ,425904,713466,0.5969506606,2022-10-19
519,ARES,367631,711819,0.516466967,2022-10-19
520,PK,522762,711606,0.7346228109,2022-10-19
521,CX,357070,710835,0.5023247308,2022-10-19
522,MCHP,339746,707081,0.4804909197,2022-10-19
523,KKR,264739,704655,0.3757001653,2022-10-19
524,LNG,434869,702960,0.6186255263,2022-10-19
525,STWD,369444,701579,0.5265893078,2022-10-19
526,IMGN,518634,700721,0.7401433666,2022-10-19
527,STX,460237,700189,0.6573039565,2022-10-19
528,KNX,453233,699550,0.6478922164,2022-10-19
529,TMO,212289,698795,0.3037929579,2022-10-19
530,S,436283,698673,0.6244451983,2022-10-19
531,HUSA,356765,695802,0.5127392563,2022-10-19
532,OKE,347606,693899,0.5009461031,2022-10-19
533,SWK,226897,691825,0.3279687782,2022-10-19
534,ORI,288739,691681,0.4174453252,2022-10-19
535,MAS,380162,690438,0.5506099027,2022-10-19
536,SPRO,386075,689163,0.5602085428,2022-10-19
537,ADMA,395983,688753,0.5749274413,2022-10-19
538,NINE,227374,688574,0.3302099702,2022-10-19
539,AM,353971,687299,0.5150174815,2022-10-19
540,EXK,467102,687278,0.679640553,2022-10-19
541,SG,480498,681272,0.7052953886,2022-10-19
542,LEN,229702,680664,0.3374675317,2022-10-19
543,RPAY,96201,680465,0.141375383,2022-10-19
544,MET,327364,680394,0.4811388695,2022-10-19
545,AQN,358098,680023,0.5265968945,2022-10-19
546,AMH,244591,678898,0.3602765069,2022-10-19
547,TRIP,416837,678868,0.6140177472,2022-10-19
548,DXCM,250713,678047,0.3697575537,2022-10-19
549,NWL,396542,677081,0.5856640491,2022-10-19
550,BMBL,406201,676690,0.6002763452,2022-10-19
551,DUK,238164,676568,0.3520178312,2022-10-19
552,AEO,364515,675734,0.5394356359,2022-10-19
553,PHM,513239,675597,0.7596821774,2022-10-19
554,TMUS,288443,672977,0.4286075156,2022-10-19
555,VMBS,288440,672227,0.4290812479,2022-10-19
556,CAG,246759,672125,0.3671326018,2022-10-19
557,GLOP,186605,665564,0.280371234,2022-10-19
558,HSBC,360331,665393,0.5415310952,2022-10-19
559,FE,194661,664179,0.2930851472,2022-10-19
560,QURE,169199,661676,0.2557127658,2022-10-19
561,AXP,305123,661178,0.4614838969,2022-10-19
562,FSLR,332797,660178,0.504101924,2022-10-19
563,ALL,215767,656849,0.3284879782,2022-10-19
564,UPS,401782,655076,0.6133364678,2022-10-19
565,NMR,242933,654585,0.3711252167,2022-10-19
566,MARK,370133,653765,0.5661560347,2022-10-19
567,FALN,228950,653610,0.3502853384,2022-10-19
568,VAPO,42089,651765,0.0645769564,2022-10-19
569,WY,376023,651700,0.5769878779,2022-10-19
570,NTNX,221408,651402,0.3398945659,2022-10-19
571,NNDM,261846,650224,0.402701223,2022-10-19
572,FRC,241529,649459,0.371892606,2022-10-19
573,CHS,303802,647006,0.4695505142,2022-10-19
574,SMTS,212312,645857,0.328729115,2022-10-19
575,TRV,422235,642617,0.6570554467,2022-10-19
576,INVH,341124,641773,0.5315337354,2022-10-19
577,CTIC,308426,641486,0.4807992692,2022-10-19
578,IBKR,329475,641196,0.5138444407,2022-10-19
579,VNO,382581,638509,0.5991787117,2022-10-19
580,HRTX,525611,635254,0.8274028971,2022-10-19
581,CTVA,424979,632812,0.6715722837,2022-10-19
582,FAST,364454,630649,0.5779030808,2022-10-19
583,NAD,315906,630352,0.5011580831,2022-10-19
584,CF,320781,629814,0.5093265631,2022-10-19
585,KIM,407184,627367,0.6490363695,2022-10-19
586,AES,408319,626319,0.6519345573,2022-10-19
587,CTSH,225324,624902,0.3605749382,2022-10-19
588,FLR,480568,624745,0.7692226428,2022-10-19
589,ENLC,332780,624405,0.5329553735,2022-10-19
590,AMTD,160717,623498,0.2577666648,2022-10-19
591,BCRX,247425,622808,0.397273317,2022-10-19
592,BXMT,204621,622397,0.3287628314,2022-10-19
593,BPMC,169337,621774,0.2723449356,2022-10-19
594,TREX,318831,621391,0.5130924008,2022-10-19
595,MUFG,245587,619996,0.3961106201,2022-10-19
596,SMSI,93050,619520,0.1501969267,2022-10-19
597,BLDP,280012,619047,0.4523275293,2022-10-19
598,FANG,376091,617241,0.6093098158,2022-10-19
599,PTEN,269827,617024,0.4373038974,2022-10-19
600,ADI,284671,617009,0.4613725245,2022-10-19
601,NXPI,239449,610565,0.3921760992,2022-10-19
602,FND,477381,607791,0.7854361121,2022-10-19
603,FOLD,411617,606934,0.6781907094,2022-10-19
604,JBHT,413811,606060,0.6827888328,2022-10-19
605,NCMI,376144,605235,0.6214842169,2022-10-19
606,DISH,334586,604970,0.5530621353,2022-10-19
607,EXAS,332265,604364,0.5497762938,2022-10-19
608,LW,79550,602856,0.1319552265,2022-10-19
609,SAVE,261518,599346,0.4363389428,2022-10-19
610,DO,422674,598362,0.706385098,2022-10-19
611,OPK,301897,598115,0.5047474148,2022-10-19
612,APLE,485661,597687,0.8125674475,2022-10-19
613,PTCT,219541,596462,0.3680720649,2022-10-19
614,URBN,484451,595563,0.8134336754,2022-10-19
615,PLL,372651,595142,0.6261547664,2022-10-19
616,ACWI,447461,594564,0.7525867695,2022-10-19
617,NOC,274443,594515,0.4616250221,2022-10-19
618,VCLT,354113,594389,0.5957596793,2022-10-19
619,HUN,187887,593489,0.3165804252,2022-10-19
620,BBY,335145,591207,0.5668826655,2022-10-19
621,MOS,318294,591081,0.5384947241,2022-10-19
622,PEB,359305,590878,0.6080866101,2022-10-19
623,HR,204778,590336,0.3468838085,2022-10-19
624,REI,161046,588616,0.2736011254,2022-10-19
625,IP,296258,587616,0.5041693895,2022-10-19
626,JMIA,339363,586104,0.5790149871,2022-10-19
627,SMFG,308837,584442,0.5284305372,2022-10-19
628,XXII,331313,584239,0.5670847033,2022-10-19
629,WPM,208704,584231,0.357228562,2022-10-19
630,CNC,219150,583725,0.3754336374,2022-10-19
631,TBPH,358656,583430,0.6147369864,2022-10-19
632,FAX,203936,582030,0.3503874371,2022-10-19
633,RLJ,85708,581934,0.1472813068,2022-10-19
634,CHRW,485244,580745,0.8355543311,2022-10-19
635,YPF,221611,580342,0.3818627637,2022-10-19
636,NUE,349576,578366,0.6044200385,2022-10-19
637,DRH,196802,577808,0.3406010301,2022-10-19
638,DTE,476477,574679,0.8291185166,2022-10-19
639,PNFP,344760,574345,0.6002663904,2022-10-19
640,FL,274125,572020,0.4792227544,2022-10-19
641,EC,178089,571449,0.3116446087,2022-10-19
642,ZS,369404,569832,0.6482682615,2022-10-19
643,CAT,408303,569523,0.7169210023,2022-10-19
644,LTHM,236523,568969,0.4157045463,2022-10-19
645,SYK,331364,568296,0.5830834635,2022-10-19
646,PAGS,272806,567950,0.4803345365,2022-10-19
647,CARG,93101,567585,0.1640300572,2022-10-19
648,BECN,105629,567232,0.1862183375,2022-10-19
649,QTNT,300082,563951,0.5321065128,2022-10-19
650,TPR,423472,563868,0.7510126484,2022-10-19
651,EFX,276613,561921,0.4922631473,2022-10-19
652,MGTX,3828,561450,0.0068180604,2022-10-19
653,GIS,343089,561140,0.6114142638,2022-10-19
654,EBR,346521,560934,0.6177571693,2022-10-19
655,LYB,239303,560496,0.4269486312,2022-10-19
656,INMD,183526,560261,0.3275723279,2022-10-19
657,VET,182143,559070,0.3257964119,2022-10-19
658,HIMX,411094,559037,0.7353609868,2022-10-19
659,EW,205958,558226,0.3689509267,2022-10-19
660,AGRX,237277,557973,0.4252481751,2022-10-19
661,NAK,238927,557715,0.428403396,2022-10-19
662,WAL,122029,556618,0.2192329389,2022-10-19
663,EVA,309551,556197,0.5565492083,2022-10-19
664,MTDR,352598,554592,0.6357790953,2022-10-19
665,TSN,112302,554042,0.2026958245,2022-10-19
666,MAA,373513,553878,0.6743596965,2022-10-19
667,NYMT,318166,553855,0.5744572135,2022-10-19
668,KLXE,186975,553798,0.3376231045,2022-10-19
669,ENB,249150,553628,0.450031429,2022-10-19
670,RNG,320850,553444,0.5797334509,2022-10-19
671,COWN,507375,552669,0.9180449781,2022-10-19
672,CAH,317793,550821,0.5769442342,2022-10-19
673,ZION,317435,550641,0.5764826811,2022-10-19
674,PAGP,444743,549562,0.8092681081,2022-10-19
675,COLD,247051,549017,0.4499878874,2022-10-19
676,FTSL,43571,548826,0.0793894604,2022-10-19
677,VONG,364185,547685,0.6649533947,2022-10-19
678,ETN,199471,547350,0.3644304376,2022-10-19
679,GASS,162707,546923,0.2974952598,2022-10-19
680,WDAY,196084,544953,0.3598181862,2022-10-19
681,DK,147422,544530,0.2707325584,2022-10-19
682,GTLB,285718,543882,0.5253308622,2022-10-19
683,ARCC,271703,542368,0.5009569149,2022-10-19
684,ECL,225461,541694,0.4162146895,2022-10-19
685,EGO,399437,541648,0.7374475674,2022-10-19
686,HES,308469,541502,0.5696544057,2022-10-19
687,ZEN,98291,541217,0.1816110728,2022-10-19
688,NGM,240703,540998,0.4449240108,2022-10-19
689,IGIB,174190,539305,0.3229897739,2022-10-19
690,AMT,298906,538658,0.5549086805,2022-10-19
691,VONV,370103,538432,0.6873718501,2022-10-19
692,AN,464834,537931,0.8641145426,2022-10-19
693,PSEC,277900,537725,0.516806918,2022-10-19
694,PFG,294311,537548,0.5475064552,2022-10-19
695,BNTC,232802,536826,0.4336637942,2022-10-19
696,LPI,265179,536300,0.4944601902,2022-10-19
697,SILK,277202,532366,0.5206981663,2022-10-19
698,LEVI,324639,529179,0.6134767253,2022-10-19
699,CGEN,237678,528561,0.4496699529,2022-10-19
700,EGY,222657,527657,0.4219729862,2022-10-19
701,PEAK,254238,527612,0.4818654617,2022-10-19
702,ESGE,174987,522917,0.3346362807,2022-10-19
703,STNG,138027,521590,0.2646273893,2022-10-19
704,SIX,283131,520583,0.5438729271,2022-10-19
705,OSTK,310330,518675,0.5983130091,2022-10-19
706,MDB,317075,518520,0.6115000386,2022-10-19
707,AXSM,286186,517653,0.5528529729,2022-10-19
708,BTI,223283,517122,0.4317801215,2022-10-19
709,EQX,250230,516411,0.4845559061,2022-10-19
710,WRB,78105,516349,0.1512639707,2022-10-19
711,GH,302134,515656,0.5859216222,2022-10-19
712,HOG,256727,515130,0.4983732262,2022-10-19
713,CADE,197702,514594,0.3841902548,2022-10-19
714,FLS,72830,514375,0.1415893074,2022-10-19
715,ESGU,209200,512995,0.4078012456,2022-10-19
716,CLVS,244696,512394,0.477554382,2022-10-19
717,APO,289482,510385,0.5671835967,2022-10-19
718,BEN,355516,509280,0.6980757147,2022-10-19
719,TRGP,218104,509280,0.4282595036,2022-10-19
720,SLQD,165494,508727,0.3253100386,2022-10-19
721,PNC,258662,508182,0.5089948089,2022-10-19
722,CP,229883,507162,0.4532733131,2022-10-19
723,AEM,161507,505113,0.3197442948,2022-10-19
724,CLM,177372,503777,0.3520843548,2022-10-19
725,ESTE,285640,503647,0.5671432571,2022-10-19
726,DRI,245354,503490,0.4873065999,2022-10-19
727,TXT,88025,503448,0.1748442739,2022-10-19
728,GLT,158366,499615,0.3169760716,2022-10-19
729,SPOT,306414,498862,0.6142259783,2022-10-19
730,MA,206460,498401,0.4142447547,2022-10-19
731,PRGO,143703,497431,0.2888903185,2022-10-19
732,WELL,254439,496391,0.5125777865,2022-10-19
733,ILMN,252667,496038,0.5093702499,2022-10-19
734,WGO,341842,494648,0.6910813346,2022-10-19
735,IOVA,159163,494321,0.3219830839,2022-10-19
736,AMGN,302442,494072,0.6121415502,2022-10-19
737,EL,227966,493269,0.4621535106,2022-10-19
738,AIV,156461,488297,0.3204217925,2022-10-19
739,VIV,296462,486511,0.609363406,2022-10-19
740,GOGL,296596,486111,0.6101404823,2022-10-19
741,TNXP,289935,485994,0.5965814393,2022-10-19
742,SONO,216308,484715,0.4462581104,2022-10-19
743,PAVM,244026,483742,0.504454854,2022-10-19
744,NERV,231336,482341,0.4796108977,2022-10-19
745,GOOS,267337,480039,0.5569068347,2022-10-19
746,PGR,263356,480033,0.5486206157,2022-10-19
747,NSC,248847,479517,0.5189534469,2022-10-19
748,TECK,252776,479337,0.527345062,2022-10-19
749,AUPH,270192,479012,0.5640610256,2022-10-19
750,CMRX,326836,478835,0.6825649754,2022-10-19
751,HALO,292746,478822,0.6113879479,2022-10-19
752,BIG,344072,478717,0.7187377929,2022-10-19
753,SWIR,229371,478425,0.4794293776,2022-10-19
754,CNQ,197654,478422,0.4131373557,2022-10-19
